Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
lamellipodium assembly (GO:0030032)	1/26	0.1917641217146227	0.3567721593131708	0	0	4.891851851851852	8.078840476657266	ARHGEF6
endoplasmic reticulum to Golgi vesicle-mediated transport (GO:0006888)	3/185	0.19200067282019956	0.3567721593131708	0	0	2.024896978021978	3.341599202765613	STX17;COPB1;HYOU1
regulation of transforming growth factor beta receptor signaling pathway (GO:0017015)	2/100	0.1961566278092089	0.36128614883731014	0	0	2.502091519837749	4.0755112984827235	SNW1;PDPK1
negative regulation of endothelial cell apoptotic process (GO:2000352)	1/27	0.19835980906420306	0.36128614883731014	0	0	4.70346628679962	7.608668913145152	PDPK1
negative regulation of insulin receptor signaling pathway (GO:0046627)	1/27	0.19835980906420306	0.36128614883731014	0	0	4.70346628679962	7.608668913145152	NCK1
regulation of cell junction assembly (GO:1901888)	1/27	0.19835980906420306	0.36128614883731014	0	0	4.70346628679962	7.608668913145152	CBFB
nucleobase-containing small molecule interconversion (GO:0015949)	1/27	0.19835980906420306	0.36128614883731014	0	0	4.70346628679962	7.608668913145152	DCTD
peptide hormone secretion (GO:0030072)	1/27	0.19835980906420306	0.36128614883731014	0	0	4.70346628679962	7.608668913145152	SNX19
positive regulation of calcium ion transmembrane transport (GO:1904427)	1/27	0.19835980906420306	0.36128614883731014	0	0	4.70346628679962	7.608668913145152	PDPK1
regulation of transcription elongation from RNA polymerase II promoter (GO:0034243)	1/27	0.19835980906420306	0.36128614883731014	0	0	4.70346628679962	7.608668913145152	ELL
positive regulation of gene silencing by miRNA (GO:2000637)	1/27	0.19835980906420306	0.36128614883731014	0	0	4.70346628679962	7.608668913145152	MAP2K2
melanosome organization (GO:0032438)	1/27	0.19835980906420306	0.36128614883731014	0	0	4.70346628679962	7.608668913145152	BLOC1S3
protein export from nucleus (GO:0006611)	1/27	0.19835980906420306	0.36128614883731014	0	0	4.70346628679962	7.608668913145152	RANBP3
positive regulation of cell cycle process (GO:0090068)	2/101	0.1991164073446808	0.36128614883731014	0	0	2.476692389735868	3.9970488074653785	PLK4;FEN1
negative regulation of cellular response to insulin stimulus (GO:1900077)	1/28	0.20490199919406868	0.36128614883731014	0	0	4.529035208047554	7.179532894028598	NCK1
regulation of B cell activation (GO:0050864)	1/28	0.20490199919406868	0.36128614883731014	0	0	4.529035208047554	7.179532894028598	AHR
carbohydrate derivative biosynthetic process (GO:1901137)	1/28	0.20490199919406868	0.36128614883731014	0	0	4.529035208047554	7.179532894028598	B3GNT5
regulation of DNA damage response, signal transduction by p53 class mediator (GO:0043516)	1/28	0.20490199919406868	0.36128614883731014	0	0	4.529035208047554	7.179532894028598	EEF1E1
regulation of DNA-templated transcription, elongation (GO:0032784)	1/28	0.20490199919406868	0.36128614883731014	0	0	4.529035208047554	7.179532894028598	ELL
cellular response to epidermal growth factor stimulus (GO:0071364)	1/28	0.20490199919406868	0.36128614883731014	0	0	4.529035208047554	7.179532894028598	PDPK1
cellular zinc ion homeostasis (GO:0006882)	1/28	0.20490199919406868	0.36128614883731014	0	0	4.529035208047554	7.179532894028598	SLC39A7
neutral amino acid transport (GO:0015804)	1/28	0.20490199919406868	0.36128614883731014	0	0	4.529035208047554	7.179532894028598	SLC38A6
regulation of microtubule polymerization or depolymerization (GO:0031110)	1/28	0.20490199919406868	0.36128614883731014	0	0	4.529035208047554	7.179532894028598	ARL2
regulation of multicellular organismal development (GO:2000026)	1/28	0.20490199919406868	0.36128614883731014	0	0	4.529035208047554	7.179532894028598	DHX36
phagosome acidification (GO:0090383)	1/28	0.20490199919406868	0.36128614883731014	0	0	4.529035208047554	7.179532894028598	ATP6V1E2
regulation of postsynapse organization (GO:0099175)	1/28	0.20490199919406868	0.36128614883731014	0	0	4.529035208047554	7.179532894028598	ABHD17A
regulation of sodium ion transmembrane transport (GO:1902305)	1/28	0.20490199919406868	0.36128614883731014	0	0	4.529035208047554	7.179532894028598	FXYD5
positive regulation of microtubule polymerization (GO:0031116)	1/28	0.20490199919406868	0.36128614883731014	0	0	4.529035208047554	7.179532894028598	ARL2
positive regulation of protein import into nucleus (GO:0042307)	1/28	0.20490199919406868	0.36128614883731014	0	0	4.529035208047554	7.179532894028598	DMAP1
transcription by RNA polymerase III (GO:0006383)	1/28	0.20490199919406868	0.36128614883731014	0	0	4.529035208047554	7.179532894028598	ELL
protein localization to Golgi apparatus (GO:0034067)	1/28	0.20490199919406868	0.36128614883731014	0	0	4.529035208047554	7.179532894028598	ARL1
cellular response to organonitrogen compound (GO:0071417)	2/103	0.20505191744057	0.36128614883731014	0	0	2.4274029887460795	3.8462008011693998	AHR;HSP90B1
positive regulation of programmed cell death (GO:0043068)	4/286	0.20538870105134754	0.36128614883731014	0	0	1.7445024309737276	2.761287404264261	PREX1;BCLAF1;EEF1E1;ARHGEF6
nucleotide-excision repair (GO:0006289)	2/105	0.21100683297786704	0.36930209930708935	0	0	2.38002773925104	3.703001292675972	CDK7;CCNH
actin filament polymerization (GO:0030041)	1/29	0.2113911233802811	0.36930209930708935	0	0	4.367063492063492	6.78661404096635	PREX1
lamellipodium organization (GO:0097581)	1/29	0.2113911233802811	0.36930209930708935	0	0	4.367063492063492	6.78661404096635	ARHGEF6
production of miRNAs involved in gene silencing by miRNA (GO:0035196)	1/29	0.2113911233802811	0.36930209930708935	0	0	4.367063492063492	6.78661404096635	METTL3
protein processing (GO:0016485)	2/106	0.2139908848218619	0.37130506670278923	0	0	2.3570234113712374	3.634110218198892	PITRM1;CPD
cellular response to peptide hormone stimulus (GO:0071375)	2/106	0.2139908848218619	0.37130506670278923	0	0	2.3570234113712374	3.634110218198892	PDPK1;RHOQ
positive regulation of protein serine/threonine kinase activity (GO:0071902)	2/106	0.2139908848218619	0.37130506670278923	0	0	2.3570234113712374	3.634110218198892	MAP2K2;TELO2
protein localization to nucleus (GO:0034504)	2/106	0.2139908848218619	0.37130506670278923	0	0	2.3570234113712374	3.634110218198892	IPO13;ARL2
negative regulation of gene expression, epigenetic (GO:0045814)	1/30	0.21782760935328782	0.3747808362947141	0	0	4.216262239250745	6.425799996664095	EPC1
regulation of protein localization to membrane (GO:1905475)	1/30	0.21782760935328782	0.3747808362947141	0	0	4.216262239250745	6.425799996664095	GPC4
positive regulation of protein import (GO:1904591)	1/30	0.21782760935328782	0.3747808362947141	0	0	4.216262239250745	6.425799996664095	DMAP1
positive regulation of small GTPase mediated signal transduction (GO:0051057)	1/30	0.21782760935328782	0.3747808362947141	0	0	4.216262239250745	6.425799996664095	SHOC2
zinc ion homeostasis (GO:0055069)	1/30	0.21782760935328782	0.3747808362947141	0	0	4.216262239250745	6.425799996664095	SLC39A7
protein phosphorylation (GO:0006468)	6/496	0.21896985331401228	0.37611292451583284	0	0	1.5089301962823345	2.2917951936776766	PLK4;CDK7;CCNH;PDPK1;CDK2;BRAF
endomembrane system organization (GO:0010256)	3/199	0.2213909173184658	0.37937838235354726	0	0	1.878922193877551	2.8330863894779914	STX17;VPS51;ARL1
activation of protein kinase B activity (GO:0032148)	1/31	0.22421188154749758	0.37937838235354726	0	0	4.075514403292181	6.093561498022166	PDPK1
purine nucleoside bisphosphate metabolic process (GO:0034032)	1/31	0.22421188154749758	0.37937838235354726	0	0	4.075514403292181	6.093561498022166	ACLY
aminoglycan catabolic process (GO:0006026)	1/31	0.22421188154749758	0.37937838235354726	0	0	4.075514403292181	6.093561498022166	GPC4
regulation of cellular senescence (GO:2000772)	1/31	0.22421188154749758	0.37937838235354726	0	0	4.075514403292181	6.093561498022166	EEF1E1
cellular response to cAMP (GO:0071320)	1/31	0.22421188154749758	0.37937838235354726	0	0	4.075514403292181	6.093561498022166	AHR
ribonucleoside bisphosphate metabolic process (GO:0033875)	1/31	0.22421188154749758	0.37937838235354726	0	0	4.075514403292181	6.093561498022166	ACLY
positive regulation of protein targeting to mitochondrion (GO:1903955)	1/31	0.22421188154749758	0.37937838235354726	0	0	4.075514403292181	6.093561498022166	RAC2
positive regulation of RNA splicing (GO:0033120)	1/31	0.22421188154749758	0.37937838235354726	0	0	4.075514403292181	6.093561498022166	SNW1
phosphorylation (GO:0016310)	5/400	0.22821862325790174	0.3837399622606511	0	0	1.5576029482454734	2.301282400327831	PLK4;CDK7;PDPK1;CDK2;BRAF
regulation of dendritic spine morphogenesis (GO:0061001)	1/32	0.23054436088849292	0.3837399622606511	0	0	3.943847072879331	5.786854057382299	DHX36
chondrocyte differentiation (GO:0002062)	1/32	0.23054436088849292	0.3837399622606511	0	0	3.943847072879331	5.786854057382299	SNX19
response to amino acid (GO:0043200)	1/32	0.23054436088849292	0.3837399622606511	0	0	3.943847072879331	5.786854057382299	GLRA3
positive regulation of lamellipodium organization (GO:1902745)	1/32	0.23054436088849292	0.3837399622606511	0	0	3.943847072879331	5.786854057382299	RAC2
intra-Golgi vesicle-mediated transport (GO:0006891)	1/32	0.23054436088849292	0.3837399622606511	0	0	3.943847072879331	5.786854057382299	COPB1
long-chain fatty acid transport (GO:0015909)	1/32	0.23054436088849292	0.3837399622606511	0	0	3.943847072879331	5.786854057382299	ACACA
superoxide metabolic process (GO:0006801)	1/32	0.23054436088849292	0.3837399622606511	0	0	3.943847072879331	5.786854057382299	PREX1
positive regulation of telomere maintenance (GO:0032206)	1/32	0.23054436088849292	0.3837399622606511	0	0	3.943847072879331	5.786854057382299	DHX36
modulation by host of symbiont process (GO:0051851)	1/32	0.23054436088849292	0.3837399622606511	0	0	3.943847072879331	5.786854057382299	SNW1
regulation of cytoskeleton organization (GO:0051493)	2/112	0.2319710003315014	0.38548676803056003	0	0	2.2277809147374366	3.2551062968445184	RAC2;RHOQ
actin filament bundle assembly (GO:0051017)	1/33	0.2368254649960053	0.389124799398581	0	0	3.820408950617284	5.503038708670886	HSP90B1
apoptotic cell clearance (GO:0043277)	1/33	0.2368254649960053	0.389124799398581	0	0	3.820408950617284	5.503038708670886	RAC2
exonucleolytic catabolism of deadenylated mRNA (GO:0043928)	1/33	0.2368254649960053	0.389124799398581	0	0	3.820408950617284	5.503038708670886	LSM5
regulation of sprouting angiogenesis (GO:1903670)	1/33	0.2368254649960053	0.389124799398581	0	0	3.820408950617284	5.503038708670886	PDPK1
RNA stabilization (GO:0043489)	1/33	0.2368254649960053	0.389124799398581	0	0	3.820408950617284	5.503038708670886	DHX36
positive regulation of organelle organization (GO:0010638)	1/33	0.2368254649960053	0.389124799398581	0	0	3.820408950617284	5.503038708670886	RAB3GAP2
very long-chain fatty acid metabolic process (GO:0000038)	1/33	0.2368254649960053	0.389124799398581	0	0	3.820408950617284	5.503038708670886	ELOVL1
autophagosome maturation (GO:0097352)	1/34	0.24305560810857574	0.3942902087094673	0	0	3.7044519266741487	5.239817675473846	STX17
regulation of keratinocyte differentiation (GO:0045616)	1/34	0.24305560810857574	0.3942902087094673	0	0	3.7044519266741487	5.239817675473846	CBFB
regulation of lamellipodium assembly (GO:0010591)	1/34	0.24305560810857574	0.3942902087094673	0	0	3.7044519266741487	5.239817675473846	RAC2
organelle disassembly (GO:1903008)	1/34	0.24305560810857574	0.3942902087094673	0	0	3.7044519266741487	5.239817675473846	DENR
positive regulation of calcium ion transport into cytosol (GO:0010524)	1/34	0.24305560810857574	0.3942902087094673	0	0	3.7044519266741487	5.239817675473846	PDPK1
female gamete generation (GO:0007292)	1/34	0.24305560810857574	0.3942902087094673	0	0	3.7044519266741487	5.239817675473846	METTL3
secondary alcohol biosynthetic process (GO:1902653)	1/34	0.24305560810857574	0.3942902087094673	0	0	3.7044519266741487	5.239817675473846	ACLY
positive regulation of release of sequestered calcium ion into cytosol (GO:0051281)	1/34	0.24305560810857574	0.3942902087094673	0	0	3.7044519266741487	5.239817675473846	PDPK1
sphingolipid metabolic process (GO:0006665)	2/116	0.24401164463504998	0.39521378893347237	0	0	2.1491772910537215	3.0314990981375027	ELOVL1;CERS2
negative regulation of transcription, DNA-templated (GO:0045892)	10/948	0.24562640291352864	0.39719965787599093	0	0	1.3168750087099517	1.8488182204192212	BCLAF1;CENPF;SNW1;CBFB;CNBP;DPF2;EPC1;AHR;DMAP1;THAP11
positive regulation of apoptotic process (GO:0043065)	4/310	0.24686503702650836	0.39737656094063734	0	0	1.6057055946068155	2.246243234106851	PREX1;BCLAF1;EEF1E1;ARHGEF6
regulation of autophagosome assembly (GO:2000785)	1/35	0.24923520113791445	0.39737656094063734	0	0	3.5953159041394334	4.9951817964924485	RAB3GAP2
base-excision repair, gap-filling (GO:0006287)	1/35	0.24923520113791445	0.39737656094063734	0	0	3.5953159041394334	4.9951817964924485	FEN1
cholesterol biosynthetic process (GO:0006695)	1/35	0.24923520113791445	0.39737656094063734	0	0	3.5953159041394334	4.9951817964924485	ACLY
nuclear-transcribed mRNA catabolic process, exonucleolytic (GO:0000291)	1/35	0.24923520113791445	0.39737656094063734	0	0	3.5953159041394334	4.9951817964924485	LSM5
oxoacid metabolic process (GO:0043436)	1/35	0.24923520113791445	0.39737656094063734	0	0	3.5953159041394334	4.9951817964924485	LIPT2
regulation of protein polymerization (GO:0032271)	1/35	0.24923520113791445	0.39737656094063734	0	0	3.5953159041394334	4.9951817964924485	ARL2
regulation of TORC1 signaling (GO:1903432)	1/35	0.24923520113791445	0.39737656094063734	0	0	3.5953159041394334	4.9951817964924485	TELO2
intracellular pH reduction (GO:0051452)	1/35	0.24923520113791445	0.39737656094063734	0	0	3.5953159041394334	4.9951817964924485	ATP6V1E2
axonal transport (GO:0098930)	1/36	0.2553646517587371	0.4021304685630652	0	0	3.492416225749559	4.767367291723359	BLOC1S3
regulation of embryonic development (GO:0045995)	1/36	0.2553646517587371	0.4021304685630652	0	0	3.492416225749559	4.767367291723359	DHX36
cellular response to heat (GO:0034605)	1/36	0.2553646517587371	0.4021304685630652	0	0	3.492416225749559	4.767367291723359	DHX36
cyclic-nucleotide-mediated signaling (GO:0019935)	1/36	0.2553646517587371	0.4021304685630652	0	0	3.492416225749559	4.767367291723359	AHR
regulation of protein import into nucleus (GO:0042306)	1/36	0.2553646517587371	0.4021304685630652	0	0	3.492416225749559	4.767367291723359	DMAP1
intrinsic apoptotic signaling pathway by p53 class mediator (GO:0072332)	1/36	0.2553646517587371	0.4021304685630652	0	0	3.492416225749559	4.767367291723359	SNW1
transferrin transport (GO:0033572)	1/36	0.2553646517587371	0.4021304685630652	0	0	3.492416225749559	4.767367291723359	ATP6V1E2
positive regulation of telomere maintenance via telomere lengthening (GO:1904358)	1/36	0.2553646517587371	0.4021304685630652	0	0	3.492416225749559	4.767367291723359	DHX36
acyl-CoA metabolic process (GO:0006637)	1/37	0.2614443643251304	0.4066912333946473	0	0	3.395233196159122	4.55482000338841	ACACA
anterograde axonal transport (GO:0008089)	1/37	0.2614443643251304	0.4066912333946473	0	0	3.395233196159122	4.55482000338841	BLOC1S3
negative regulation of epithelial cell apoptotic process (GO:1904036)	1/37	0.2614443643251304	0.4066912333946473	0	0	3.395233196159122	4.55482000338841	PDPK1
regulation of glucose import (GO:0046324)	1/37	0.2614443643251304	0.4066912333946473	0	0	3.395233196159122	4.55482000338841	RHOQ
phagocytosis, engulfment (GO:0006911)	1/37	0.2614443643251304	0.4066912333946473	0	0	3.395233196159122	4.55482000338841	RAC2
phagosome maturation (GO:0090382)	1/37	0.2614443643251304	0.4066912333946473	0	0	3.395233196159122	4.55482000338841	ATP6V1E2
phospholipid biosynthetic process (GO:0008654)	1/37	0.2614443643251304	0.4066912333946473	0	0	3.395233196159122	4.55482000338841	DOLPP1
glutamine family amino acid metabolic process (GO:0009064)	1/37	0.2614443643251304	0.4066912333946473	0	0	3.395233196159122	4.55482000338841	GLS
regulation of mRNA catabolic process (GO:0061013)	2/122	0.26211607607752346	0.4071164585884939	0	0	2.041097308488613	2.7329636439055194	YTHDF2;DHX36
negative regulation of G0 to G1 transition (GO:0070317)	1/38	0.2674747399652208	0.41230646190717296	0	0	3.3033033033033035	4.356165651217937	EPC1
DNA replication initiation (GO:0006270)	1/38	0.2674747399652208	0.41230646190717296	0	0	3.3033033033033035	4.356165651217937	CDK2
positive regulation of cell development (GO:0010720)	1/38	0.2674747399652208	0.41230646190717296	0	0	3.3033033033033035	4.356165651217937	SNW1
response to cAMP (GO:0051591)	1/38	0.2674747399652208	0.41230646190717296	0	0	3.3033033033033035	4.356165651217937	AHR
sterol biosynthetic process (GO:0016126)	1/38	0.2674747399652208	0.41230646190717296	0	0	3.3033033033033035	4.356165651217937	ACLY
fatty acid metabolic process (GO:0006631)	2/124	0.26815551186334297	0.4127333330185791	0	0	2.007433051624071	2.642159692057178	ACLY;ACACA
positive regulation of cell motility (GO:2000147)	3/221	0.26915309155657197	0.4136458038658895	0	0	1.687413990825688	2.2146885893079498	ELP3;ELP5;CBLL1
protein targeting (GO:0006605)	2/125	0.2711751671460031	0.41612765889371645	0	0	1.9910114629096602	2.5982506337010434	ICMT;PITRM1
negative regulation of cellular metabolic process (GO:0031324)	1/39	0.27345617655910126	0.41712270513940525	0	0	3.2162118258609484	4.170184964924455	AATF
cellular response to ketone (GO:1901655)	1/39	0.27345617655910126	0.41712270513940525	0	0	3.2162118258609484	4.170184964924455	AHR
regulation of ion transmembrane transporter activity (GO:0032412)	1/39	0.27345617655910126	0.41712270513940525	0	0	3.2162118258609484	4.170184964924455	FXYD5
regulation of protein targeting to mitochondrion (GO:1903214)	1/39	0.27345617655910126	0.41712270513940525	0	0	3.2162118258609484	4.170184964924455	RAC2
carboxylic acid metabolic process (GO:0019752)	1/40	0.2793890688796572	0.42176606853029486	0	0	3.1335865780310224	3.99579278859102	LIPT2
nucleocytoplasmic transport (GO:0006913)	1/40	0.2793890688796572	0.42176606853029486	0	0	3.1335865780310224	3.99579278859102	GEMIN4
regulation of microtubule polymerization (GO:0031113)	1/40	0.2793890688796572	0.42176606853029486	0	0	3.1335865780310224	3.99579278859102	ARL2
organic hydroxy compound transport (GO:0015850)	1/40	0.2793890688796572	0.42176606853029486	0	0	3.1335865780310224	3.99579278859102	NPC2
regulation of sodium ion transmembrane transporter activity (GO:2000649)	1/40	0.2793890688796572	0.42176606853029486	0	0	3.1335865780310224	3.99579278859102	FXYD5
glycolipid biosynthetic process (GO:0009247)	1/40	0.2793890688796572	0.42176606853029486	0	0	3.1335865780310224	3.99579278859102	B3GNT5
response to organonitrogen compound (GO:0010243)	1/40	0.2793890688796572	0.42176606853029486	0	0	3.1335865780310224	3.99579278859102	GLRA3
microtubule cytoskeleton organization involved in mitosis (GO:1902850)	2/128	0.28023152058131134	0.4224138850060475	0	0	1.943310657596372	2.4721615841800517	CENPF;CENPM
DNA-dependent DNA replication (GO:0006261)	2/129	0.28324879662605473	0.4225359888400547	0	0	1.9279111850149167	2.431924288033446	POLG2;CDK2
negative regulation of cell-cell adhesion (GO:0022408)	1/41	0.2852738085123657	0.4225359888400547	0	0	3.0550925925925925	3.832020444880164	FXYD5
regulation of cell development (GO:0060284)	1/41	0.2852738085123657	0.4225359888400547	0	0	3.0550925925925925	3.832020444880164	YTHDF2
carboxylic acid transmembrane transport (GO:1905039)	1/41	0.2852738085123657	0.4225359888400547	0	0	3.0550925925925925	3.832020444880164	SLC38A6
regulation of filopodium assembly (GO:0051489)	1/41	0.2852738085123657	0.4225359888400547	0	0	3.0550925925925925	3.832020444880164	RHOQ
regulation of G0 to G1 transition (GO:0070316)	1/41	0.2852738085123657	0.4225359888400547	0	0	3.0550925925925925	3.832020444880164	EPC1
regulation of response to DNA damage stimulus (GO:2001020)	1/41	0.2852738085123657	0.4225359888400547	0	0	3.0550925925925925	3.832020444880164	BCLAF1
gluconeogenesis (GO:0006094)	1/41	0.2852738085123657	0.4225359888400547	0	0	3.0550925925925925	3.832020444880164	SLC25A1
import into cell (GO:0098657)	1/41	0.2852738085123657	0.4225359888400547	0	0	3.0550925925925925	3.832020444880164	SLC29A1
JNK cascade (GO:0007254)	1/41	0.2852738085123657	0.4225359888400547	0	0	3.0550925925925925	3.832020444880164	ARHGEF6
positive regulation of TOR signaling (GO:0032008)	1/41	0.2852738085123657	0.4225359888400547	0	0	3.0550925925925925	3.832020444880164	TELO2
visual system development (GO:0150063)	1/41	0.2852738085123657	0.4225359888400547	0	0	3.0550925925925925	3.832020444880164	BLOC1S3
protein glycosylation (GO:0006486)	2/130	0.2862650074284171	0.4233905030272681	0	0	1.9127523291925466	2.3925419547895834	B3GNT5;DOLPP1
regulation of DNA recombination (GO:0000018)	1/42	0.2911107837950921	0.4274643980439427	0	0	2.9804275820535984	3.6780007823419014	SMARCAD1
ceramide biosynthetic process (GO:0046513)	1/42	0.2911107837950921	0.4274643980439427	0	0	2.9804275820535984	3.6780007823419014	CERS2
nucleic acid-templated transcription (GO:0097659)	1/42	0.2911107837950921	0.4274643980439427	0	0	2.9804275820535984	3.6780007823419014	EPC1
regulation of nervous system development (GO:0051960)	1/42	0.2911107837950921	0.4274643980439427	0	0	2.9804275820535984	3.6780007823419014	YTHDF2
histone H3 acetylation (GO:0043966)	1/42	0.2911107837950921	0.4274643980439427	0	0	2.9804275820535984	3.6780007823419014	MEAF6
positive regulation of cytokine production (GO:0001819)	4/335	0.2918119998749065	0.4278792881953436	0	0	1.4825286439035512	1.825949762698751	POLR3B;DHX36;G3BP1;POLR3F
cellular response to retinoic acid (GO:0071300)	1/43	0.2969003801306055	0.43471660242618737	0	0	2.909318048206937	3.5329554410878723	SNW1
cation transmembrane transport (GO:0098655)	1/44	0.3026429796742476	0.4405998934858704	0	0	2.8415159345391903	3.3961839739671156	TRPM7
regulation of endothelial cell apoptotic process (GO:2000351)	1/44	0.3026429796742476	0.4405998934858704	0	0	2.8415159345391903	3.3961839739671156	PDPK1
neurogenesis (GO:0022008)	1/44	0.3026429796742476	0.4405998934858704	0	0	2.8415159345391903	3.3961839739671156	METTL3
hexose biosynthetic process (GO:0019319)	1/44	0.3026429796742476	0.4405998934858704	0	0	2.8415159345391903	3.3961839739671156	SLC25A1
organic substance transport (GO:0071702)	2/136	0.30432991484759053	0.44242556610844597	0	0	1.826550477426532	2.172942843165587	CENPF;HSP90B1
amino acid transmembrane transport (GO:0003333)	1/45	0.3083389616179308	0.445088162109499	0	0	2.7767957351290686	3.2670545067132517	SLC38A6
regulation of insulin receptor signaling pathway (GO:0046626)	1/45	0.3083389616179308	0.445088162109499	0	0	2.7767957351290686	3.2670545067132517	NCK1
positive regulation of nervous system development (GO:0051962)	1/45	0.3083389616179308	0.445088162109499	0	0	2.7767957351290686	3.2670545067132517	SNW1
positive regulation of Notch signaling pathway (GO:0045747)	1/45	0.3083389616179308	0.445088162109499	0	0	2.7767957351290686	3.2670545067132517	SNW1
positive regulation of RNA metabolic process (GO:0051254)	1/45	0.3083389616179308	0.445088162109499	0	0	2.7767957351290686	3.2670545067132517	MAP2K2
positive regulation of response to external stimulus (GO:0032103)	2/139	0.3133339030560756	0.44880622867273	0	0	1.7862809992292696	2.0729538668212766	POLR3B;POLR3F
alpha-amino acid metabolic process (GO:1901605)	1/46	0.3139887020557749	0.44880622867273	0	0	2.714951989026063	3.1449956992624712	GLS
regulation of B cell proliferation (GO:0030888)	1/46	0.3139887020557749	0.44880622867273	0	0	2.714951989026063	3.1449956992624712	AHR
regulation of cellular protein localization (GO:1903827)	1/46	0.3139887020557749	0.44880622867273	0	0	2.714951989026063	3.1449956992624712	GPC4
regulation of DNA metabolic process (GO:0051052)	1/46	0.3139887020557749	0.44880622867273	0	0	2.714951989026063	3.1449956992624712	SMARCAD1
positive regulation of nucleocytoplasmic transport (GO:0046824)	1/46	0.3139887020557749	0.44880622867273	0	0	2.714951989026063	3.1449956992624712	DMAP1
spliceosomal complex assembly (GO:0000245)	1/46	0.3139887020557749	0.44880622867273	0	0	2.714951989026063	3.1449956992624712	ZRSR2
cellular response to DNA damage stimulus (GO:0006974)	4/350	0.3193103333141186	0.4542748410196944	0	0	1.4171665394263278	1.61782572528188	FEN1;METTL3;AATF;ALKBH8
regulation of synapse assembly (GO:0051963)	1/47	0.31959257406375763	0.4542748410196944	0	0	2.6557971014492754	3.0294897979464084	GPC4
regulation of T cell activation (GO:0050863)	1/47	0.31959257406375763	0.4542748410196944	0	0	2.6557971014492754	3.0294897979464084	METTL3
histone deacetylation (GO:0016575)	1/47	0.31959257406375763	0.4542748410196944	0	0	2.6557971014492754	3.0294897979464084	SMARCAD1
negative regulation of transcription by RNA polymerase II (GO:0000122)	7/684	0.32422046939348953	0.45604466996204	0	0	1.2699314471840322	1.4303638343561496	SNW1;CBFB;CNBP;DPF2;EPC1;DMAP1;THAP11
purine ribonucleotide biosynthetic process (GO:0009152)	1/48	0.3251509478119509	0.45604466996204	0	0	2.5991594431310743	2.920066612294687	PANK1
base-excision repair (GO:0006284)	1/48	0.3251509478119509	0.45604466996204	0	0	2.5991594431310743	2.920066612294687	FEN1
cellular response to alcohol (GO:0097306)	1/48	0.3251509478119509	0.45604466996204	0	0	2.5991594431310743	2.920066612294687	AHR
establishment of protein localization to mitochondrion (GO:0072655)	1/48	0.3251509478119509	0.45604466996204	0	0	2.5991594431310743	2.920066612294687	PITRM1
positive regulation of blood vessel endothelial cell migration (GO:0043536)	1/48	0.3251509478119509	0.45604466996204	0	0	2.5991594431310743	2.920066612294687	PDPK1
positive regulation of endocytosis (GO:0045807)	1/48	0.3251509478119509	0.45604466996204	0	0	2.5991594431310743	2.920066612294687	CBLL1
protein-DNA complex assembly (GO:0065004)	2/143	0.3252999651686176	0.45604466996204	0	0	1.7352539535703273	1.948703295499415	CDK7;CCNH
receptor-mediated endocytosis (GO:0006898)	2/143	0.3252999651686176	0.45604466996204	0	0	1.7352539535703273	1.948703295499415	HYOU1;HSP90B1
nitrogen compound transport (GO:0071705)	2/143	0.3252999651686176	0.45604466996204	0	0	1.7352539535703273	1.948703295499415	CENPF;HSP90B1
aminoglycan biosynthetic process (GO:0006023)	1/49	0.33066419041532485	0.4616650308804126	0	0	2.5448816872427984	2.8162982793060634	GPC4
positive regulation of actin filament polymerization (GO:0030838)	1/49	0.33066419041532485	0.4616650308804126	0	0	2.5448816872427984	2.8162982793060634	NCK1
regulation of stress-activated MAPK cascade (GO:0032872)	1/49	0.33066419041532485	0.4616650308804126	0	0	2.5448816872427984	2.8162982793060634	MAP2K2
actin polymerization or depolymerization (GO:0008154)	1/50	0.33613266608727643	0.4661161258360875	0	0	2.492819349962207	2.717794694415788	PREX1
amino acid transport (GO:0006865)	1/50	0.33613266608727643	0.4661161258360875	0	0	2.492819349962207	2.717794694415788	SLC38A6
chloride transmembrane transport (GO:1902476)	1/50	0.33613266608727643	0.4661161258360875	0	0	2.492819349962207	2.717794694415788	GLRA3
neuron migration (GO:0001764)	1/50	0.33613266608727643	0.4661161258360875	0	0	2.492819349962207	2.717794694415788	ELP3
iron ion transport (GO:0006826)	1/50	0.33613266608727643	0.4661161258360875	0	0	2.492819349962207	2.717794694415788	ATP6V1E2
positive regulation of intracellular protein transport (GO:0090316)	2/148	0.34018109689107284	0.470446070412073	0	0	1.6754020250148898	1.80654774620096	RAC2;DMAP1
cholesterol transport (GO:0030301)	1/51	0.34155673605260095	0.470446070412073	0	0	2.4428395061728394	2.624199516714141	NPC2
regulation of smoothened signaling pathway (GO:0008589)	1/51	0.34155673605260095	0.470446070412073	0	0	2.4428395061728394	2.624199516714141	PDCL
positive regulation of fat cell differentiation (GO:0045600)	1/51	0.34155673605260095	0.470446070412073	0	0	2.4428395061728394	2.624199516714141	CARM1
intrinsic apoptotic signaling pathway in response to DNA damage (GO:0008630)	1/51	0.34155673605260095	0.470446070412073	0	0	2.4428395061728394	2.624199516714141	SNW1
cellular response to organic cyclic compound (GO:0071407)	2/150	0.34610618662316645	0.4727591565399142	0	0	1.652593587376196	1.7534177491102805	AHR;HSP90B1
